year	orgnr	organisasjon_navn	medlemmer
"2010"	"813918102"		"—"
"2011"	"813918102"		"—"
"2012"	"813918102"		"—"
"2013"	"813918102"		"—"
"2014"	"813918102"		"—"
"2015"	"813918102"		"—"
"2016"	"813918102"		"—"
"2017"	"813918102"	"Islamsk Kultursenter Stange"	"67"
"2010"	"814373592"		"—"
"2011"	"814373592"		"—"
"2012"	"814373592"		"—"
"2013"	"814373592"		"—"
"2014"	"814373592"		"—"
"2015"	"814373592"	"Afghansk Islam og Kultur Senter"	"135"
"2016"	"814373592"	"Afghansk Islam og Kultur Senter"	"222"
"2017"	"814373592"	"Afghansk Islam og Kultur Senter"	"232"
"2010"	"814809722"		"—"
"2011"	"814809722"		"—"
"2012"	"814809722"		"—"
"2013"	"814809722"		"—"
"2014"	"814809722"		"—"
"2015"	"814809722"		"—"
"2016"	"814809722"	"Eritreisk Tewahdo Ortodoks Medhanealem Kirke i Asker og Bærum"	"234"
"2017"	"814809722"	"Eritreisk Tewahdo Ortodoks Medhanealem Kirke i Asker og Bærum"	"294"
"2010"	"817797792"		"—"
"2011"	"817797792"		"—"
"2012"	"817797792"		"—"
"2013"	"817797792"		"—"
"2014"	"817797792"		"—"
"2015"	"817797792"		"—"
"2016"	"817797792"		"—"
"2017"	"817797792"	"St.Micheal"	"50"
"2010"	"841166272"	"Evangelische Gemeinde Deutscher Sprache in Norwegen"	"364"
"2011"	"841166272"	"Evangelische Gemeinde Deutscher Sprache in Norwegen"	"396"
"2012"	"841166272"	"Evangelische Gemeinde Deutscher Sprache in Norwegen"	"405"
"2013"	"841166272"	"Evangelische Gemeinde Deutscher Sprache in Norwegen"	"422"
"2014"	"841166272"	"Evangelische Gemeinde Deutscher Sprache in Norwegen"	"428"
"2015"	"841166272"	"Evangelische Gemeinde Deutscher Sprache in Norwegen"	"434"
"2016"	"841166272"	"Evangelische Gemeinde Deutscher Sprache in Norwegen"	"436"
"2017"	"841166272"	"Evangelische Gemeinde Deutscher Sprache in Norwegen"	"439"
"2010"	"865221282"	"Pinsemenigheten Sion"	"102"
"2011"	"865221282"	"Pinsemenigheten Sion"	"99"
"2012"	"865221282"	"Pinsemenigheten Sion"	"99"
"2013"	"865221282"	"Pinsemenigheten Sion"	"92"
"2014"	"865221282"	"Pinsemenigheten Sion"	"91"
"2015"	"865221282"	"Pinsemenigheten Sion"	"87"
"2016"	"865221282"	"Pinsemenigheten Sion"	"86"
"2017"	"865221282"	"Pinsemenigheten Sion"	"85"
"2010"	"870131682"	"Stiftelsen Sentermenigheten"	"139"
"2011"	"870131682"	"Stiftelsen Sentermenigheten"	"148"
"2012"	"870131682"	"Stiftelsen Sentermenigheten"	"139"
"2013"	"870131682"	"Stiftelsen Sentermenigheten"	"131"
"2014"	"870131682"	"Stiftelsen Sentermenigheten"	"153"
"2015"	"870131682"	"Stiftelsen Sentermenigheten"	"154"
"2016"	"870131682"	"Stiftelsen Sentermenigheten"	"166"
"2017"	"870131682"	"Stiftelsen Sentermenigheten"	"137"
"2010"	"870262272"	"Det Norske Baptistsamfunn"	"9751"
"2011"	"870262272"	"Det Norske Baptistsamfunn"	"9922"
"2012"	"870262272"	"Det Norske Baptistsamfunn"	"9999"
"2013"	"870262272"	"Det Norske Baptistsamfunn"	"10213"
"2014"	"870262272"	"Det Norske Baptistsamfunn"	"10283"
"2015"	"870262272"	"Det Norske Baptistsamfunn"	"10296"
"2016"	"870262272"	"Det Norske Baptistsamfunn"	"10367"
"2017"	"870262272"	"Det Norske Baptistsamfunn"	"10510"
"2010"	"871084572"	"Menigheten Apostolisk Tro"	"11"
"2011"	"871084572"	"Menigheten Apostolisk Tro"	"11"
"2012"	"871084572"	"Menigheten Apostolisk Tro"	"12"
"2013"	"871084572"	"Menigheten Apostolisk Tro"	"12"
"2014"	"871084572"	"Menigheten Apostolisk Tro"	"11"
"2015"	"871084572"	"Menigheten Apostolisk Tro"	"11"
"2016"	"871084572"	"Menigheten Apostolisk Tro"	"10"
"2017"	"871084572"	"Menigheten Apostolisk Tro"	"12"
"2010"	"871245762"	"Den Finländska Evangelisk-Lutherska Församlingen i Norge"	"4173"
"2011"	"871245762"	"Den Finländska Evangelisk-Lutherska Församlingen i Norge"	"4146"
"2012"	"871245762"	"Den Finländska Evangelisk-Lutherska Församlingen i Norge"	"4193"
"2013"	"871245762"	"Den Finländska Evangelisk-Lutherska Församlingen i Norge"	"3440"
"2014"	"871245762"	"Den Finländska Evangelisk-Lutherska Församlingen i Norge"	"4348"
"2015"	"871245762"	"Den Finländska Evangelisk-Lutherska Församlingen i Norge"	"4355"
"2016"	"871245762"	"Den Finländska Evangelisk-Lutherska Församlingen i Norge"	"4117"
"2017"	"871245762"	"Den Finländska Evangelisk-Lutherska Församlingen i Norge"	"1290"
"2010"	"871250782"	"Pinsemenigheten Betania"	"68"
"2011"	"871250782"	"Pinsemenigheten Betania"	"63"
"2012"	"871250782"	"Pinsemenigheten Betania"	"59"
"2013"	"871250782"	"Pinsemenigheten Betania"	"59"
"2014"	"871250782"	"Pinsemenigheten Betania"	"65"
"2015"	"871250782"	"Pinsemenigheten Betania"	"61"
"2016"	"871250782"	"Pinsemenigheten Betania"	"60"
"2017"	"871250782"	"Pinsemenigheten Betania"	"63"
"2010"	"871270112"	"Pinsemenigheten Betel Dal"	"54"
"2011"	"871270112"		"—"
"2012"	"871270112"		"—"
"2013"	"871270112"	"Pinsemenigheten Betel Dal"	"40"
"2014"	"871270112"	"Pinsemenigheten Betel Dal"	"37"
"2015"	"871270112"	"Pinsemenigheten Betel Dal"	"38"
"2016"	"871270112"	"Pinsemenigheten Betel Dal"	"37"
"2017"	"871270112"	"Pinsemenigheten Betel Dal"	"39"
"2010"	"871271712"	"Kristensamfunnet i Norge"	"2580"
"2011"	"871271712"	"Kristensamfunnet i Norge"	"2585"
"2012"	"871271712"	"Kristensamfunnet i Norge"	"2567"
"2013"	"871271712"	"Kristensamfunnet i Norge"	"2544"
"2014"	"871271712"	"Kristensamfunnet i Norge"	"2540"
"2015"	"871271712"	"Kristensamfunnet i Norge"	"2527"
"2016"	"871271712"	"Kristensamfunnet i Norge"	"2550"
"2017"	"871271712"	"Kristensamfunnet i Norge"	"2483"
"2010"	"871276072"	"Det Islamske Kultursenter i Oslo"	"1088"
"2011"	"871276072"	"Det Islamske Kultursenter i Oslo"	"1153"
"2012"	"871276072"	"Det Islamske Kultursenter i Oslo"	"1164"
"2013"	"871276072"	"Det Islamske Kultursenter i Oslo"	"1166"
"2014"	"871276072"	"Det Islamske Kultursenter i Oslo"	"1188"
"2015"	"871276072"	"Det Islamske Kultursenter i Oslo"	"1212"
"2016"	"871276072"	"Det Islamske Kultursenter i Oslo"	"1194"
"2017"	"871276072"	"Det Islamske Kultursenter i Oslo"	"1219"
"2010"	"871313482"	"Den Frie Evangeliske Forsamling Salem"	"86"
"2011"	"871313482"	"Den Frie Evangeliske Forsamling Salem"	"85"
"2012"	"871313482"	"Den Frie Evangeliske Forsamling Salem"	"79"
"2013"	"871313482"	"Den Frie Evangeliske Forsamling Salem"	"76"
"2014"	"871313482"	"Den Frie Evangeliske Forsamling Salem"	"74"
"2015"	"871313482"	"Den Frie Evangeliske Forsamling Salem"	"74"
"2016"	"871313482"	"Den Frie Evangeliske Forsamling Salem"	"68"
"2017"	"871313482"		"—"
"2010"	"871322112"	"Pinsemenigheten Betel"	"87"
"2011"	"871322112"	"Pinsemenigheten Betel"	"93"
"2012"	"871322112"	"Pinsemenigheten Betel"	"97"
"2013"	"871322112"	"Pinsemenigheten Betel"	"116"
"2014"	"871322112"	"Pinsemenigheten Betel"	"101"
"2015"	"871322112"	"Pinsemenigheten Betel"	"99"
"2016"	"871322112"	"Pinsemenigheten Betel"	"106"
"2017"	"871322112"	"Pinsemenigheten Betel"	"102"
"2010"	"871339902"	"Karismakirken"	"416"
"2011"	"871339902"	"Karismakirken"	"431"
"2012"	"871339902"	"Karismakirken"	"445"
"2013"	"871339902"	"Karismakirken"	"439"
"2014"	"871339902"	"Karismakirken"	"430"
"2015"	"871339902"	"Karismakirken"	"445"
"2016"	"871339902"	"Karismakirken"	"437"
"2017"	"871339902"	"Karismakirken"	"429"
"2010"	"871343152"	"Pinsemenigheten Betel, Nærbø"	"126"
"2011"	"871343152"	"Pinsemenigheten Betel, Nærbø"	"131"
"2012"	"871343152"	"Pinsemenigheten Betel, Nærbø"	"134"
"2013"	"871343152"	"Pinsemenigheten Betel, Nærbø"	"135"
"2014"	"871343152"	"Pinsemenigheten Betel, Nærbø"	"134"
"2015"	"871343152"	"Pinsemenigheten Betel, Nærbø"	"133"
"2016"	"871343152"	"Pinsemenigheten Betel, Nærbø"	"138"
"2017"	"871343152"	"Pinsemenigheten Betel, Nærbø"	"139"
"2010"	"871390932"	"Smyrna Pinsemenighet"	"32"
"2011"	"871390932"	"Smyrna Pinsemenighet"	"30"
"2012"	"871390932"	"Smyrna Pinsemenighet"	"27"
"2013"	"871390932"	"Smyrna Pinsemenighet"	"21"
"2014"	"871390932"	"Smyrna Pinsemenighet"	"20"
"2015"	"871390932"	"Smyrna Pinsemenighet"	"17"
"2016"	"871390932"	"Smyrna Pinsemenighet"	"17"
"2017"	"871390932"	"Smyrna Pinsemenighet"	"15"
"2010"	"871427402"	"Menigheten Samfundet Kristiansand"	"1411"
"2011"	"871427402"	"Menigheten Samfundet Kristiansand"	"1413"
"2012"	"871427402"	"Menigheten Samfundet Kristiansand"	"1405"
"2013"	"871427402"	"Menigheten Samfundet Kristiansand"	"1394"
"2014"	"871427402"	"Menigheten Samfundet Kristiansand"	"1398"
"2015"	"871427402"	"Menigheten Samfundet Kristiansand"	"1379"
"2016"	"871427402"	"Menigheten Samfundet Kristiansand"	"1355"
"2017"	"871427402"	"Menigheten Samfundet Kristiansand"	"1342"
"2010"	"871432562"	"Pinsemenigheten Filadelfia"	"232"
"2011"	"871432562"	"Pinsemenigheten Filadelfia"	"227"
"2012"	"871432562"	"Pinsemenigheten Filadelfia"	"227"
"2013"	"871432562"	"Pinsemenigheten Filadelfia"	"219"
"2014"	"871432562"	"Filadelfia Hønefoss"	"211"
"2015"	"871432562"	"Filadelfia Hønefoss"	"205"
"2016"	"871432562"	"Filadelfia Hønefoss"	"210"
"2017"	"871432562"	"Filadelfia Hønefoss"	"209"
"2010"	"871436142"	"Svenska Margaretaførsamlingen i Oslo"	"14629"
"2011"	"871436142"	"Svenska Margaretaførsamlingen i Oslo"	"17376"
"2012"	"871436142"	"Svenska Margaretaførsamlingen i Oslo"	"19950"
"2013"	"871436142"	"Svenska Margaretaførsamlingen i Oslo"	"20901"
"2014"	"871436142"	"Svenska Margaretaførsamlingen i Oslo"	"21573"
"2015"	"871436142"	"Svenska Kyrkan i Norge"	"22006"
"2016"	"871436142"	"Svenska Kyrkan i Norge"	"21689"
"2017"	"871436142"	"Svenska Kyrkan i Norge"	"9483"
"2010"	"871454612"	"Tønsberg Pinsekirke Betania"	"529"
"2011"	"871454612"	"Tønsberg Pinsekirke Betania"	"531"
"2012"	"871454612"	"Tønsberg Pinsekirke Betania"	"511"
"2013"	"871454612"	"Tønsberg Pinsekirke Betania"	"501"
"2014"	"871454612"	"Tønsberg Pinsekirke Betania"	"494"
"2015"	"871454612"	"Tønsberg Pinsekirke Betania"	"490"
"2016"	"871454612"	"Tønsberg Pinsekirke Betania"	"484"
"2017"	"871454612"	"Tønsberg Pinsekirke Betania"	"471"
"2010"	"871484872"	"Menigheten Betel Haga"	"221"
"2011"	"871484872"	"Menigheten Betel Haga"	"226"
"2012"	"871484872"	"Menigheten Betel Haga"	"237"
"2013"	"871484872"	"Menigheten Betel Haga"	"254"
"2014"	"871484872"	"Menigheten Betel Haga"	"253"
"2015"	"871484872"	"Menigheten Betel Haga"	"258"
"2016"	"871484872"	"Menigheten Betel Haga"	"283"
"2017"	"871484872"	"Menigheten Betel Haga"	"289"
"2010"	"871490872"	"Anjuman-E-Hussaini Norway"	"554"
"2011"	"871490872"	"Anjuman-E-Hussaini Norway"	"596"
"2012"	"871490872"	"Anjuman-E-Hussaini Norway"	"645"
"2013"	"871490872"	"Anjuman-E-Hussaini Norway"	"665"
"2014"	"871490872"	"Anjuman-E-Hussaini Norway"	"679"
"2015"	"871490872"	"Anjuman-E-Hussaini Norway"	"676"
"2016"	"871490872"	"Anjuman-E-Hussaini Norway"	"716"
"2017"	"871490872"	"Anjuman-E-Hussaini Norway"	"750"
"2010"	"871490902"	"Kristi Menighet"	"184"
"2011"	"871490902"	"Kristi Menighet"	"187"
"2012"	"871490902"	"Kristi Menighet"	"186"
"2013"	"871490902"	"Kristi Menighet"	"181"
"2014"	"871490902"	"Kristi Menighet"	"177"
"2015"	"871490902"	"Kristi Menighet"	"174"
"2016"	"871490902"	"Kristi Menighet"	"169"
"2017"	"871490902"	"Kristi Menighet"	"171"
"2010"	"871491062"	"Filadelfiamenigheten Sarpsborg"	"724"
"2011"	"871491062"	"Filadelfiamenigheten Sarpsborg"	"728"
"2012"	"871491062"	"Filadelfiamenigheten Sarpsborg"	"704"
"2013"	"871491062"	"Filadelfiakirken Sarpsborg"	"694"
"2014"	"871491062"	"Filadelfiakirken Sarpsborg"	"697"
"2015"	"871491062"	"Filadelfiakirken Sarpsborg"	"673"
"2016"	"871491062"	"Filadelfiakirken Sarpsborg"	"664"
"2017"	"871491062"	"Filadelfiakirken Sarpsborg"	"671"
"2010"	"871491232"	"Pinsemenigheten Evangeliehuset"	"224"
"2011"	"871491232"	"Pinsemenigheten Evangeliehuset"	"231"
"2012"	"871491232"	"Pinsemenigheten Evangeliehuset"	"220"
"2013"	"871491232"	"Pinsemenigheten Evangeliehuset"	"230"
"2014"	"871491232"	"Pinsemenigheten Evangeliehuset"	"232"
"2015"	"871491232"	"Pinsemenigheten Evangeliehuset"	"238"
"2016"	"871491232"	"Pinsemenigheten Evangeliehuset"	"238"
"2017"	"871491232"	"Pinsemenigheten Evangeliehuset"	"248"
"2010"	"871492042"	"Lyngdal Pinsemenighet"	"287"
"2011"	"871492042"	"Lyngdal Pinsemenighet"	"308"
"2012"	"871492042"	"Lyngdal Pinsemenighet"	"306"
"2013"	"871492042"	"Lyngdal Pinsemenighet"	"316"
"2014"	"871492042"	"Lyngdal Pinsemenighet"	"315"
"2015"	"871492042"	"Lyngdal Pinsemenighet"	"313"
"2016"	"871492042"	"Lyngdal Pinsemenighet"	"325"
"2017"	"871492042"	"Lyngdal Pinsemenighet"	"332"
"2010"	"871526222"	"Maran Ata-Menigheten i Oslo"	"73"
"2011"	"871526222"	"Maran Ata-Menigheten i Oslo"	"67"
"2012"	"871526222"	"Maran Ata-Menigheten i Oslo"	"63"
"2013"	"871526222"	"Maran Ata-Menigheten i Oslo"	"62"
"2014"	"871526222"		"—"
"2015"	"871526222"	"Maran Ata-Menigheten i Oslo"	"53"
"2016"	"871526222"	"Maran Ata-Menigheten i Oslo"	"51"
"2017"	"871526222"	"Maran Ata-Menigheten i Oslo"	"49"
"2010"	"874245992"	"Pinsemenigheten Håpet"	"71"
"2011"	"874245992"	"Pinsemenigheten Håpet"	"86"
"2012"	"874245992"	"Pinsemenigheten Håpet"	"77"
"2013"	"874245992"	"Pinsemenigheten Håpet"	"67"
"2014"	"874245992"	"Pinsemenigheten Håpet"	"83"
"2015"	"874245992"	"Pinsemenigheten Håpet"	"69"
"2016"	"874245992"	"Pinsemenigheten Håpet"	"76"
"2017"	"874245992"	"Pinsemenigheten Håpet"	"73"
"2010"	"874260142"	"Ålesund Kristne Senter"	"93"
"2011"	"874260142"	"Ålesund Kristne Senter"	"91"
"2012"	"874260142"	"Ålesund Kristne Senter"	"94"
"2013"	"874260142"	"Ålesund Kristne Senter"	"91"
"2014"	"874260142"	"Ålesund Kristne Senter"	"113"
"2015"	"874260142"	"Ålesund Kristne Senter"	"116"
"2016"	"874260142"	"Ålesund Kristne Senter"	"122"
"2017"	"874260142"	"Ålesund Kristne Senter"	"132"
"2010"	"875469762"	"Pinsemenigheten Betania Fauske"	"46"
"2011"	"875469762"	"Pinsemenigheten Betania Fauske"	"60"
"2012"	"875469762"	"Pinsemenigheten Betania Fauske"	"65"
"2013"	"875469762"	"Pinsemenigheten Betania Fauske"	"81"
"2014"	"875469762"	"Pinsemenigheten Betania Fauske"	"84"
"2015"	"875469762"	"Pinsemenigheten Betania Fauske"	"83"
"2016"	"875469762"	"Pinsemenigheten Betania Fauske"	"87"
"2017"	"875469762"	"Pinsemenigheten Betania Fauske"	"91"
"2010"	"875478982"	"Filadelfia Askim"	"273"
"2011"	"875478982"	"Filadelfia Askim"	"278"
"2012"	"875478982"	"Filadelfia Askim"	"272"
"2013"	"875478982"	"Filadelfia Askim"	"273"
"2014"	"875478982"	"Filadelfia Askim"	"266"
"2015"	"875478982"	"Filadelfia Askim"	"256"
"2016"	"875478982"	"Filadelfia Askim"	"263"
"2017"	"875478982"	"Filadelfia Askim"	"256"
"2010"	"875543342"	"Filadelfia i Mo"	"89"
"2011"	"875543342"	"Filadelfia i Mo"	"87"
"2012"	"875543342"	"Filadelfia i Mo"	"85"
"2013"	"875543342"	"Filadelfia i Mo"	"80"
"2014"	"875543342"	"Filadelfia i Mo"	"78"
"2015"	"875543342"	"Filadelfia i Mo"	"76"
"2016"	"875543342"	"Filadelfia i Mo"	"76"
"2017"	"875543342"	"Filadelfia i Mo"	"74"
"2010"	"875557882"	"Filadelfia Manger"	"33"
"2011"	"875557882"	"Filadelfia Manger"	"34"
"2012"	"875557882"	"Filadelfia Manger"	"33"
"2013"	"875557882"	"Filadelfia Manger"	"33"
"2014"	"875557882"	"Filadelfia Manger"	"30"
"2015"	"875557882"	"Filadelfia Manger"	"29"
"2016"	"875557882"	"Filadelfia Manger"	"29"
"2017"	"875557882"	"Filadelfia Manger"	"26"
"2010"	"875593102"	"Pinsemenigheten Salem"	"218"
"2011"	"875593102"	"Pinsemenigheten Salem"	"0"
"2012"	"875593102"	"Pinsemenigheten Salem"	"213"
"2013"	"875593102"	"Pinsemenigheten Salem"	"212"
"2014"	"875593102"	"Pinsemenigheten Salem"	"207"
"2015"	"875593102"	"Pinsemenigheten Salem"	"203"
"2016"	"875593102"	"Pinsemenigheten Salem"	"196"
"2017"	"875593102"	"Pinsemenigheten Salem"	"194"
"2010"	"875596942"	"Den Frie Evangeliske Forsamling Betel, Horten"	"27"
"2011"	"875596942"	"Den Frie Evangeliske Forsamling Betel, Horten"	"25"
"2012"	"875596942"	"Den Frie Evangeliske Forsamling Betel, Horten"	"25"
"2013"	"875596942"	"Den Frie Evangeliske Forsamling Betel, Horten"	"25"
"2014"	"875596942"	"Den Frie Evangeliske Forsamling Betel, Horten"	"25"
"2015"	"875596942"		"—"
"2016"	"875596942"	"Den Frie Evangeliske Forsamling Betel, Horten"	"27"
"2017"	"875596942"	"Den Frie Evangeliske Forsamling Betel, Horten"	"27"
"2010"	"875710672"		"—"
"2011"	"875710672"	"Filadelfia Stryn"	"15"
"2012"	"875710672"	"Filadelfia Stryn"	"18"
"2013"	"875710672"	"Filadelfia Stryn"	"18"
"2014"	"875710672"	"Filadelfia Stryn"	"18"
"2015"	"875710672"	"Filadelfia Stryn"	"18"
"2016"	"875710672"	"Filadelfia Stryn"	"19"
"2017"	"875710672"	"Filadelfia Stryn"	"25"
"2010"	"875720392"	"Pinsemenigheten Salem"	"92"
"2011"	"875720392"	"Pinsemenigheten Salem"	"84"
"2012"	"875720392"	"Pinsemenigheten Salem"	"82"
"2013"	"875720392"	"Pinsemenigheten Salem"	"85"
"2014"	"875720392"	"Pinsemenigheten Salem"	"84"
"2015"	"875720392"	"Pinsemenigheten Salem"	"80"
"2016"	"875720392"	"Pinsemenigheten Salem"	"79"
"2017"	"875720392"	"Pinsemenigheten Salem"	"79"
"2010"	"876224062"	"Yewongel Brehan Church"	"69"
"2011"	"876224062"	"Yewongel Brehan Church"	"63"
"2012"	"876224062"	"Yewongel Brehan Church"	"70"
"2013"	"876224062"	"Yewongel Brehan Church"	"102"
"2014"	"876224062"	"Yewongel Brehan Church"	"135"
"2015"	"876224062"	"Yewongel Brehan Church"	"159"
"2016"	"876224062"	"Yewongel Brehan Church"	"192"
"2017"	"876224062"	"Yewongel Brehan Church"	"192"
"2010"	"876540312"	"Pinsemenigheten Filadelfia Orkdal"	"94"
"2011"	"876540312"	"Pinsemenigheten Filadelfia Orkdal"	"90"
"2012"	"876540312"	"Pinsemenigheten Filadelfia Orkdal"	"86"
"2013"	"876540312"	"Pinsemenigheten Filadelfia Orkdal"	"82"
"2014"	"876540312"	"Pinsemenigheten Filadelfia Orkdal"	"80"
"2015"	"876540312"	"Pinsemenigheten Filadelfia Orkdal"	"75"
"2016"	"876540312"	"Pinsemenigheten Filadelfia Orkdal"	"74"
"2017"	"876540312"	"Pinsemenigheten Filadelfia Orkdal"	"79"
"2010"	"876763362"	"Rogaland Muslim Society"	"498"
"2011"	"876763362"	"Rogaland Muslim Society"	"500"
"2012"	"876763362"	"Rogaland Muslim Society"	"526"
"2013"	"876763362"	"Rogaland Muslim Society"	"529"
"2014"	"876763362"	"Rogaland Muslim Society"	"583"
"2015"	"876763362"	"Rogaland Muslim Society"	"602"
"2016"	"876763362"	"Rogaland Muslim Society"	"605"
"2017"	"876763362"	"Rogaland Muslim Society"	"560"
"2010"	"876884712"	"Livets Kilde Farsund"	"43"
"2011"	"876884712"	"Livets Kilde Farsund"	"45"
"2012"	"876884712"	"Livets Kilde Farsund"	"46"
"2013"	"876884712"		"—"
"2014"	"876884712"	"Livets Kilde Farsund"	"37"
"2015"	"876884712"		"—"
"2016"	"876884712"		"—"
"2017"	"876884712"		"—"
"2010"	"876908972"	"Pinsemenigheten Klippen"	"78"
"2011"	"876908972"	"Pinsemenigheten Klippen"	"72"
"2012"	"876908972"	"Pinsemenigheten Klippen"	"90"
"2013"	"876908972"	"Pinsemenigheten Klippen"	"89"
"2014"	"876908972"	"Pinsemenigheten Klippen"	"91"
"2015"	"876908972"	"Pinsemenigheten Klippen"	"89"
"2016"	"876908972"	"Pinsemenigheten Klippen"	"89"
"2017"	"876908972"	"Pinsemenigheten Klippen"	"89"
"2010"	"879229022"		"—"
"2011"	"879229022"		"—"
"2012"	"879229022"		"—"
"2013"	"879229022"		"—"
"2014"	"879229022"		"—"
"2015"	"879229022"	"Pinsekirka Elim Eikenosvåg"	"39"
"2016"	"879229022"	"Pinsekirka Elim Eikenosvåg"	"39"
"2017"	"879229022"	"Pinsekirka Elim Eikenosvåg"	"41"
"2010"	"879492742"	"Jehovas Vitner"	"11641"
"2011"	"879492742"	"Jehovas Vitner"	"11739"
"2012"	"879492742"	"Jehovas Vitner"	"11903"
"2013"	"879492742"	"Jehovas Vitner"	"12049"
"2014"	"879492742"	"Jehovas Vitner"	"12130"
"2015"	"879492742"	"Jehovas Vitner"	"12304"
"2016"	"879492742"	"Jehovas Vitner"	"12413"
"2017"	"879492742"	"Jehovas Vitner"	"12479"
"2010"	"880172042"	"Al-Rahma Islamic Senter"	"671"
"2011"	"880172042"	"Al-Rahma Islamic Senter"	"694"
"2012"	"880172042"	"Al-Rahma Islamic Senter"	"711"
"2013"	"880172042"	"Al-Rahma Islamic Senter"	"743"
"2014"	"880172042"	"Al-Rahma Islamic Senter"	"848"
"2015"	"880172042"	"Al-Rahma Islamic Senter"	"915"
"2016"	"880172042"	"Al-Rahma Islamic Senter"	"976"
"2017"	"880172042"	"Al-Rahma Islamic Senter"	"943"
"2010"	"880270842"	"Regnbuen Kristne Fellesskap"	"100"
"2011"	"880270842"		"—"
"2012"	"880270842"	"Regnbuen Kristne Fellesskap"	"101"
"2013"	"880270842"		"—"
"2014"	"880270842"		"—"
"2015"	"880270842"		"—"
"2016"	"880270842"		"—"
"2017"	"880270842"		"—"
"2010"	"880563602"	"Norges Hindu Kultur Senter"	"1612"
"2011"	"880563602"	"Norges Hindu Kultur Senter"	"1695"
"2012"	"880563602"	"Norges Hindu Kultur Senter"	"1961"
"2013"	"880563602"	"Norges Hindu Kultur Senter"	"1880"
"2014"	"880563602"	"Norges Hindu Kultur Senter"	"2036"
"2015"	"880563602"	"Norges Hindu Kultur Senter"	"2111"
"2016"	"880563602"	"Norges Hindu Kultur Senter"	"2143"
"2017"	"880563602"	"Norges Hindu Kultur Senter"	"2247"
"2010"	"880876392"	"Det Muslimske Trossamfunnet i Agder Fylkene"	"202"
"2011"	"880876392"	"Det Muslimske Trossamfunnet i Agder Fylkene"	"193"
"2012"	"880876392"	"Det Muslimske Trossamfunnet i Agder Fylkene"	"198"
"2013"	"880876392"	"Det Muslimske Trossamfunnet i Agder Fylkene"	"192"
"2014"	"880876392"	"Det Muslimske Trossamfunnet i Agder Fylkene"	"190"
"2015"	"880876392"	"Det Muslimske Trossamfunnet i Agder Fylkene"	"183"
"2016"	"880876392"	"Det Muslimske Trossamfunnet i Agder Fylkene"	"175"
"2017"	"880876392"	"Det Muslimske Trossamfunnet i Agder Fylkene"	"172"
"2010"	"880883542"	"Pinsemenigheten Betel Tana"	"29"
"2011"	"880883542"	"Pinsemenigheten Betel Tana"	"29"
"2012"	"880883542"	"Pinsemenigheten Betel Tana"	"26"
"2013"	"880883542"	"Pinsemenigheten Betel Tana"	"25"
"2014"	"880883542"	"Pinsemenigheten Betel Tana"	"23"
"2015"	"880883542"	"Pinsemenigheten Betel Tana"	"24"
"2016"	"880883542"	"Pinsemenigheten Betel Tana"	"24"
